event_id,category,t_hours,detection_ms,recovery_s,service_affecting,operator_intervention
45,tracking_loss,143.3400,96.9,3.19,yes,no
46,tracking_loss,145.3426,91.6,2.75,yes,no
47,tracking_loss,145.7901,74.2,2.92,yes,no
48,tracking_loss,153.6318,68.2,6.45,yes,no
49,tracking_loss,153.8088,138.8,2.11,yes,no
50,tracking_loss,154.6667,107.6,3.24,yes,no
51,tracking_loss,157.3412,80.3,3.32,yes,no
52,tracking_loss,160.1301,43.6,2.07,yes,no
53,tracking_loss,162.2249,75.0,1.58,yes,no
54,tracking_loss,163.4233,117.0,3.65,yes,no
55,tracking_loss,165.1098,71.6,3.01,yes,no
56,tracking_loss,165.9164,87.0,2.37,yes,no
57,tracking_loss,166.1293,88.7,5.75,yes,no
58,tracking_loss,167.5957,45.7,1.62,yes,no
59,tracking_loss,170.4370,124.3,3.98,yes,no
60,tracking_loss,175.8318,39.1,2.53,yes,no
61,tracking_loss,180.6909,47.7,3.15,yes,no
62,tracking_loss,182.3384,98.8,3.55,yes,no
63,tracking_loss,184.9255,157.1,2.78,yes,no
64,tracking_loss,186.8103,90.8,2.31,yes,no
65,tracking_loss,186.8557,87.0,3.82,yes,no
66,tracking_loss,187.2267,87.5,2.42,yes,no
67,tracking_loss,192.1285,49.2,3.75,yes,no
68,tracking_loss,194.3932,50.7,4.73,yes,no
69,tracking_loss,197.2123,175.4,2.70,yes,no
70,tracking_loss,198.6351,70.4,1.51,yes,no
71,sensor_timeout,1.2794,120.3,3.67,yes,no
72,sensor_timeout,1.9175,84.5,1.42,yes,no
73,sensor_timeout,5.2441,99.3,2.38,yes,no
74,sensor_timeout,13.6780,156.2,4.29,yes,no
75,sensor_timeout,13.8486,209.1,3.95,yes,no
76,sensor_timeout,14.0274,127.2,3.45,yes,no
77,sensor_timeout,23.0725,84.3,3.04,yes,no
78,sensor_timeout,31.8688,143.9,3.98,yes,no
79,sensor_timeout,36.9920,106.2,2.69,yes,no
80,sensor_timeout,39.1112,95.4,4.47,yes,no
81,sensor_timeout,43.3469,61.0,3.45,yes,no
82,sensor_timeout,56.2463,125.2,3.10,yes,no
83,sensor_timeout,58.5023,92.1,3.01,yes,no
84,sensor_timeout,65.3906,89.3,3.83,yes,no
85,sensor_timeout,69.0854,102.9,2.04,yes,no
86,sensor_timeout,73.0506,55.1,4.38,yes,no
87,sensor_timeout,75.9978,111.3,3.15,yes,no
88,sensor_timeout,79.7420,177.0,3.11,yes,no
89,sensor_timeout,82.2068,142.1,3.79,yes,no
90,sensor_timeout,83.5666,89.6,2.83,yes,no
91,sensor_timeout,106.5117,44.5,2.30,yes,no
92,sensor_timeout,107.7074,92.1,3.99,yes,no
93,sensor_timeout,108.9351,130.3,2.85,yes,no
94,sensor_timeout,110.1345,77.3,3.60,yes,no
95,sensor_timeout,124.9413,107.4,3.80,yes,no
96,sensor_timeout,128.0511,116.9,3.19,yes,no
97,sensor_timeout,132.8539,76.4,2.68,yes,no
98,sensor_timeout,151.2024,117.9,2.58,yes,no
99,sensor_timeout,154.1099,156.8,2.30,yes,no
100,sensor_timeout,156.8063,211.2,2.53,yes,no
101,sensor_timeout,157.3068,101.7,2.30,yes,no
102,sensor_timeout,160.7263,72.5,2.34,yes,no
103,sensor_timeout,173.6374,109.6,2.53,yes,no
104,sensor_timeout,188.7467,117.6,3.68,yes,no
105,sensor_timeout,191.8812,171.8,3.63,yes,no
106,sensor_timeout,197.8638,149.4,3.22,yes,no
107,computational_overrun,6.9545,20.2,4.82,yes,no
108,computational_overrun,9.5313,52.1,2.55,yes,no
109,computational_overrun,11.9828,23.8,2.75,yes,no
110,computational_overrun,15.0367,28.4,2.56,yes,no
111,computational_overrun,16.3255,15.5,1.95,yes,no
112,computational_overrun,17.9861,14.3,1.50,yes,no
113,computational_overrun,23.0570,34.2,2.49,yes,no
114,computational_overrun,35.1309,23.2,1.89,yes,no
115,computational_overrun,39.8798,25.5,1.73,yes,no
116,computational_overrun,50.3101,17.9,1.68,yes,no
117,computational_overrun,59.1980,9.4,1.69,yes,no
118,computational_overrun,70.7466,18.7,2.09,yes,no
119,computational_overrun,82.1472,27.1,2.79,yes,no
120,computational_overrun,83.9354,17.2,2.18,yes,no
121,computational_overrun,86.0002,24.7,1.36,yes,no
122,computational_overrun,93.8297,23.4,0.93,yes,no
123,computational_overrun,96.5159,15.2,1.72,yes,no
124,computational_overrun,145.9480,31.8,2.89,yes,no
125,computational_overrun,151.8961,29.6,1.91,yes,no
126,computational_overrun,159.4305,24.4,1.56,yes,no
127,computational_overrun,166.0656,25.0,1.36,yes,no
128,computational_overrun,171.3984,15.4,3.29,yes,no
129,computational_overrun,180.0365,25.3,1.52,yes,no
130,computational_overrun,194.3788,28.4,2.42,yes,no
131,hardware_communication,30.7956,40.8,5.63,yes,no
132,hardware_communication,35.9537,196.6,4.40,yes,no
133,hardware_communication,40.8444,85.3,3.02,yes,no
134,hardware_communication,84.7948,83.7,5.26,yes,no
135,hardware_communication,97.7049,134.4,4.31,yes,no
136,hardware_communication,110.2873,120.0,2.34,yes,no
137,hardware_communication,114.4453,107.9,4.99,yes,no
138,hardware_communication,118.7721,76.6,4.88,yes,no
139,hardware_communication,120.8683,145.7,4.10,yes,no
140,hardware_communication,129.9075,121.4,4.96,yes,no
141,hardware_communication,131.9043,142.5,5.72,yes,no
142,hardware_communication,132.5991,96.1,4.53,yes,no
143,hardware_communication,146.3249,148.4,3.38,yes,no
144,hardware_communication,171.8853,164.7,5.93,yes,no
145,hardware_communication,176.7549,127.2,3.87,yes,no
146,hardware_communication,192.8968,60.1,7.07,yes,no
147,configuration_inconsistency,11.4890,9.9,,no,no
148,configuration_inconsistency,76.2200,9.3,,no,no
149,configuration_inconsistency,81.3137,7.3,,no,no
150,configuration_inconsistency,88.4426,13.2,,no,no
151,configuration_inconsistency,114.3012,5.7,,no,no
152,configuration_inconsistency,119.9115,9.1,,no,no
153,configuration_inconsistency,135.4543,11.4,,no,no
154,configuration_inconsistency,153.0356,7.8,,no,no
155,configuration_inconsistency,177.9063,5.6,,no,no
156,configuration_inconsistency,193.3658,5.9,,no,no
157,network_partition,9.3885,214.9,5.60,yes,yes
158,network_partition,32.9456,174.0,7.95,yes,yes
159,network_partition,41.4022,94.7,7.43,yes,yes
160,network_partition,67.2295,163.1,6.75,yes,yes
161,network_partition,72.4122,183.0,6.69,yes,yes
162,network_partition,101.1714,194.3,10.79,yes,yes
163,constraint_violation,17.9459,22.7,15.90,yes,no
164,constraint_violation,30.8148,21.1,14.96,yes,no
165,constraint_violation,32.2928,18.8,9.42,yes,no
166,constraint_violation,104.8976,25.7,6.22,yes,no
